"dag","veckodag","presskonferens"
"2020-03-01","söndag",""
"2020-03-02","måndag",""
"2020-03-03","tisdag",""
"2020-03-04","onsdag",""
"2020-03-05","torsdag",""
"2020-03-06","fredag","1"
"2020-03-07","lördag",""
"2020-03-08","söndag",""
"2020-03-09","måndag","1"
"2020-03-10","tisdag","1"
"2020-03-11","onsdag","1"
"2020-03-12","torsdag","1"
"2020-03-13","fredag","1"
"2020-03-14","lördag",""
"2020-03-15","söndag",""
"2020-03-16","måndag","1"
"2020-03-17","tisdag","1"
"2020-03-18","onsdag","1"
"2020-03-19","torsdag","1"
"2020-03-20","fredag","1"
"2020-03-21","lördag",""
"2020-03-22","söndag",""
"2020-03-23","måndag","1"
"2020-03-24","tisdag","1"
"2020-03-25","onsdag","1"
"2020-03-26","torsdag","1"
"2020-03-27","fredag","1"
"2020-03-28","lördag",""
"2020-03-29","söndag",""
"2020-03-30","måndag","1"
"2020-03-31","tisdag","1"
"2020-04-01","onsdag","1"
"2020-04-02","torsdag","1"
"2020-04-03","fredag","1"
"2020-04-04","lördag",""
"2020-04-05","söndag",""
"2020-04-06","måndag","1"
"2020-04-07","tisdag","1"
"2020-04-08","onsdag","1"
"2020-04-09","torsdag","1"
"2020-04-10","fredag","1"
"2020-04-11","lördag",""
"2020-04-12","söndag",""
"2020-04-13","måndag","1"
"2020-04-14","tisdag","1"
"2020-04-15","onsdag","1"
"2020-04-16","torsdag","1"
"2020-04-17","fredag","1"
"2020-04-18","lördag",""
"2020-04-19","söndag",""
"2020-04-20","måndag","1"
"2020-04-21","tisdag","1"
"2020-04-22","onsdag","1"
"2020-04-23","torsdag","1"
"2020-04-24","fredag","1"
"2020-04-25","lördag",""
"2020-04-26","söndag",""
"2020-04-27","måndag","1"
"2020-04-28","tisdag","1"
"2020-04-29","onsdag","1"
"2020-04-30","torsdag",""
"2020-05-01","fredag",""
"2020-05-02","lördag",""
"2020-05-03","söndag",""
"2020-05-04","måndag","1"
"2020-05-05","tisdag","1"
"2020-05-06","onsdag","1"
"2020-05-07","torsdag","1"
"2020-05-08","fredag","1"
"2020-05-09","lördag",""
"2020-05-10","söndag",""
"2020-05-11","måndag","1"
"2020-05-12","tisdag","1"
"2020-05-13","onsdag","1"
"2020-05-14","torsdag","1"
